Generation,RedPheromoneIntensity,GreenPheromoneIntensity,TIMEOUT,PHEROMONE_EVAPORATION,CHANGE_TO_EXPLORER,CHANGE_TO_CARRIER,CHANGE_TO_NESTCARRIER,CHANGE_TO_FOLLOWGREEN,Fitness Score
5,127.099,63.7641,2087.31,80.5914,1.55096e+09,7.62407e+08,1.10134e+09,1.96188e+09,880
5,126.875,66.9198,2226.65,78.6243,1.50344e+09,7.83749e+08,1.08491e+09,1.87043e+09,1038
5,127.224,69.1971,2401.17,75.8894,1.45918e+09,8.22652e+08,1.16106e+09,1.80484e+09,37
5,127.255,57.684,1716.06,80.177,1.57204e+09,7.51116e+08,1.1442e+09,2.0231e+09,1701
5,127.099,63.7641,2087.31,80.5914,1.55096e+09,7.62407e+08,1.10952e+09,1.96188e+09,880
5,126.841,65.4575,2082.85,77.4335,1.52312e+09,7.84735e+08,1.10473e+09,2.00323e+09,554
5,129.346,71.4966,2561.58,76.8019,1.49536e+09,7.24192e+08,1.18156e+09,1.85828e+09,36
5,126.97,55.4794,2085.08,79.0125,1.54951e+09,7.8165e+08,1.11621e+09,1.98256e+09,47
5,126.763,68.4976,2204.24,77.6407,1.51257e+09,7.9038e+08,1.18507e+09,1.8931e+09,615
5,127.177,60.7241,1901.68,80.3842,1.57397e+09,7.64841e+08,1.2433e+09,1.97671e+09,963
5,127.294,56.164,1623.25,83.8112,1.58355e+09,7.3318e+08,1.21518e+09,2.03052e+09,492
6,127.411,51.6039,1344.81,87.2382,1.59312e+09,7.39825e+08,1.18707e+09,2.08432e+09,2899
6,127.255,57.684,1557.95,83.9148,1.39308e+09,7.56348e+08,1.15738e+09,1.98851e+09,1584
6,126.975,61.6286,1876.32,81.4558,1.53798e+09,8.16121e+08,1.12697e+09,1.8859e+09,707
6,133.407,73.7572,3626.4,72.4624,1.44961e+09,8.3516e+08,1.13002e+09,1.75103e+09,9
6,129.217,72.3433,2559.35,75.223,1.48144e+09,1.00351e+09,1.09176e+09,1.87896e+09,11
6,133.845,63.7641,2087.31,80.5914,1.55096e+09,7.62407e+08,1.10543e+09,1.96188e+09,1104
6,127.294,61.4546,1623.25,83.8112,1.58355e+09,7.52333e+08,1.21518e+09,2.03052e+09,405
6,126.925,64.2742,1736.31,80.0401,1.52071e+09,7.99935e+08,1.10594e+09,1.87816e+09,182
6,127.035,59.6218,2086.19,79.8019,1.55023e+09,6.65122e+08,1.10877e+09,1.97222e+09,660
6,127.255,57.684,1569.78,83.9148,1.57204e+09,7.51116e+08,1.14829e+09,2.0231e+09,1398
6,127.216,59.2041,1735.73,84.011,1.57301e+09,7.57978e+08,1.19579e+09,1.99991e+09,961
