Generation,RedPheromoneIntensity,GreenPheromoneIntensity,TIMEOUT,PHEROMONE_EVAPORATION,Fitness Score
20,135.498,22.5992,598.812,42.1081,19352
20,137.689,13.9099,1263.11,46.3194,34660
20,140.382,18.9977,879.674,44.3902,21417
21,145.266,40.5693,1160.54,46.6722,37657
21,171.282,32.1861,1134.91,50.5995,23326
21,130.02,39.9959,816.005,47.6034,8334
21,139.036,16.4538,1071.39,35.694,23066
21,138.882,10.8493,1808.9,45.7644,17428
21,155.269,20.655,1711.1,47.0173,18306
21,145.696,19.6755,1451.27,41.8336,5277
21,119.679,26.6662,1364.35,47.427,26150
21,136.122,26.6194,1191.44,49.2037,12608
21,142.151,28.5116,1216.98,41.1831,22810
21,138.612,30.993,1058.68,46.2618,13
21,146.693,8.22536,1210.74,47.9606,22202
21,140.909,4.59727,1321.36,45.5186,14003
21,139.85,13.9099,1263.11,46.3194,6
21,137.579,6.09755,1529.23,42.4488,25920
21,126.829,31.5843,879.674,44.3902,26399
21,126.173,17.3046,1373.1,41.816,21779
21,118.258,18.2546,930.96,44.2137,23918
21,134.49,28.7634,1048.33,42.7866,21238
21,142.905,31.5843,984.71,44.3902,13159
22,145.266,40.5693,1160.54,46.6722,37657
22,119.679,26.6662,1044.03,61.3049,20626
22,146.067,12.1761,1230.09,37.8045,20983
22,109.512,15.2153,1080.53,41.0091,27910
22,145.177,52.3137,1188.76,43.9277,10415
22,128.587,28.8296,1211.51,46.8444,21085
22,119.82,24.4444,1126.39,43.1031,2510
22,146.38,0,1220.42,42.8826,7158
22,127.344,0,1134.64,37.569,7188
22,122.729,22.0224,1146.02,43.9267,30350
22,123.545,10.6564,1700.09,39.0527,18
22,98.2665,34.6995,1186.03,46.7583,21552
22,109.395,32.5069,1143.46,44.8876,9920
22,130.659,3.72587,964,43.5884,321
22,108.973,17.1529,1115.03,54.0316,21302
22,146.067,12.1761,234.666,37.8045,30671
22,153.171,6.08803,1225.26,40.9813,976
22,126.042,47.0814,1173.28,46.7153,54
22,136.882,40.5717,726.982,45.386,3
22,144.486,21.8802,1107.4,54.2444,5
23,145.266,40.5693,1160.54,46.6722,37657
23,114.607,28.4756,1134.93,26.726,27940
23,145.794,16.1841,1618.36,47.5203,21265
23,84.6225,32.1171,1144.15,50.3734,28094
23,114.944,36.3432,1152.34,61.887,5759
23,96.7976,24.635,2055.13,52.2025,14322
23,99.615,44.5784,1139.54,21.3381,723
23,129.937,34.5225,917.367,36.6991,16
23,132.852,8.96867,729.961,39.3929,24115
23,151.138,10.5724,482.313,38.5987,2
23,149.218,0,1192.9,43.8267,6297
23,122.841,8.40619,0,29.5713,0
23,108.973,0,1115.03,54.0316,6931
23,102.914,23.3287,1192.9,43.8267,16015
23,96.7976,16.0586,1129.59,45.208,26805
23,137.63,23.5407,257.599,45.271,0
23,119.171,20.4095,1143.53,49.8614,8441
23,116.426,66.492,1055.13,40.2629,14448
23,118.078,20.2847,1176.72,45.2495,3547
23,130.456,44.1861,2836.88,47.2537,601
24,145.266,40.5693,1160.54,46.6722,37657
24,101.35,0,1160.43,47.8115,7001
24,92.1187,38.3477,1141.85,30.1127,945
24,94.4633,41.7549,2048.68,43.8267,23039
24,113.657,56.1895,1389.32,41.6098,20479
24,139.059,24.769,945.248,37.0522,811
24,112.699,33.246,0,47.1473,0
24,135.955,16.0133,199.76,45.7268,0
24,99.074,0,1145.01,46.5097,6795
24,86.7267,0,0,47.1606,0
24,104.334,20.2847,1176.72,45.2495,13842
24,73.0751,45.4209,1998.66,47.5326,22161
24,97.5166,33.9954,1167.37,36.9697,10917
24,108.888,15.1153,1107.78,44.0372,24561
24,113.098,10.1423,588.358,28.7576,9047
24,99.074,0,2118.46,35.7113,6483
24,92.4271,24.5554,1137.58,33.7664,25023
24,105.444,97.8979,0,42.0448,0
24,181.788,24.769,945.248,37.0522,418
24,90.9815,60.7285,1553.22,45.7849,6316
25,145.266,40.5693,1160.54,46.6722,37657
25,106.366,28.0947,1753.89,50.1403,16719
